s.no.,feedstock,activation,material_type,heat_treatment (celsius),SA (m2/g),TPV (cm3/g),MPV(cm3/g),C%,H%,N%,O%,T (celsius),P (bar),CO2_uptake (mmol/g)
1,Wood chip,KOH,Hierarchical,900,1281.6,0.71,0.32,69.22,3.99,0.08,26.3,25,1,2.63
,Wood chip,KOH and CO2,Hierarchical,900,1012.6,0.56,0.22,64.83,3.64,0.38,30.77,25,1,2.59
,Wood chip and chicken manure,KOH,Hierarchical,900,1408.8,0.83,0.36,72.41,3.63,0.01,23.59,25,1,2.92
,Wood chip and chicken manure,KOH and CO2,Hierarchical,900,1403.9,0.85,0.33,69.51,4.35,0.76,24.94,25,1,2.44
2,Food waste and wood,KOH,Hierarchical,,841.3,0.36,,68.43,0,31.09,0.48,25,1,3.23
,Food waste and wood,KOH and CO2,Hierarchical,,667.4,0.29,,61.32,0,38.15,0.53,25,1,2.73
3,Spent coffee,K2CO3,Microporous,,645,0.26,0.25,70.86,1.71,3.19,14.72,25,1,3.45
,Spent coffee,K2CO3,Microporous,,750,0.3,0.29,83.88,1.63,3.27,5.3,25,1,3.65
,Spent coffee,K2CO3,Microporous,,1259,0.52,0.49,87.56,1.06,1.87,0.23,25,1,4.33
,Spent coffee,K2CO3,Microporous,,1476,0.61,0.6,91.62,0.8,1.67,0,25,1,4.54
,Spent coffee,K2CO3,Microporous,,1692,0.71,0.68,94.51,0.58,1.51,0,25,1,4.46
,Spent coffee,K2CO3,Microporous,,2337,1.15,0.85,82.66,0.59,1.55,0,25,1,3.78
,Spent coffee,K2CO3,Microporous,,645,0.26,0.25,70.86,1.71,3.19,14.72,25,0.15,1.43
,Spent coffee,K2CO3,Microporous,,750,0.3,0.29,83.88,1.63,3.27,5.3,25,0.15,1.46
,Spent coffee,K2CO3,Microporous,,1259,0.52,0.49,87.56,1.06,1.87,0.23,25,0.15,1.36
,Spent coffee,K2CO3,Microporous,,1476,0.61,0.6,91.62,0.8,1.67,0,25,0.15,1.3
,Spent coffee,K2CO3,Microporous,,1692,0.71,0.68,94.51,0.58,1.51,0,25,0.15,1.2
,Spent coffee,K2CO3,Microporous,,2337,1.15,0.85,82.66,0.59,1.55,0,25,0.15,0.92
4,Pine sawdust,KOH,Hierarchical,700,1728.66,0.7,0.67,93.4,0.73,0.89,6.79,25,1,4.21
,Pine sawdust,KOH,Hierarchical,700,2279.52,0.99,0.91,96.96,0.18,0.99,4.51,25,1,3.46
,Pine sawdust,KOH,Hierarchical,700,2330.89,1.91,0.98,87.57,0.17,1.3,7.35,25,1,2.45
5,Date,KOH,Hierarchical,500,2112,0.94,0.86,82.84,2.06,0.75,14.35,25,1,4.18
,Date,KOH,Hierarchical,500,3255,1.65,1.29,79.46,1.7,0.04,18.8,25,1,3.35
,Date,KOH,Hierarchical,500,3337,2.05,0.54,89.4,1.41,0.16,9.03,25,1,2.9
,Date,KOH,Hierarchical,800,1634,0.76,0.56,82.49,2.02,0.82,14.67,25,1,4.14
,Date,KOH,Hierarchical,800,2367,1.15,0.83,74.01,1.93,0.67,13,25,1,4.36
,Date,KOH,Hierarchical,800,2844,1.63,0.89,73.43,2.03,0.67,23.88,25,1,3.65
6,Bee collected pollen,KOH,Microporous,800,232,0.11,0.09,80.82,1.48,2.34,15.36,25,1,1.77
,Bee collected pollen,KOH,Microporous,800,332,0.16,0.12,76.25,0,1.89,21.86,25,1,2.1
,Bee collected pollen,KOH,Microporous,800,937,0.4,0.38,77.57,0,1.54,20.89,25,1,3.38
,Bee collected pollen,KOH,Microporous,800,1214,0.53,0.48,79.37,0,1.18,19.45,25,1,3.4
,Bee collected pollen,KOH,Microporous,800,1460,0.63,0.53,93.1,0,0.31,6.59,25,1,3.42
,Bee collected pollen,KOH,Microporous,800,232,0.11,0.09,80.82,1.48,2.34,15.36,25,0.15,0.98
,Bee collected pollen,KOH,Microporous,800,332,0.16,0.12,76.25,0,1.89,21.86,25,0.15,1.04
,Bee collected pollen,KOH,Microporous,800,937,0.4,0.38,77.57,0,1.54,20.89,25,0.15,1.18
,Bee collected pollen,KOH,Microporous,800,1214,0.53,0.48,79.37,0,1.18,19.45,25,0.15,0.85
,Bee collected pollen,KOH,Microporous,800,1460,0.63,0.53,93.1,0,0.31,6.59,25,0.15,0.69
7,Biomass tar,Cao/KOH,Hierarchical,,1898,1.52,0.43,82.85,0,0,17.15,25,1,2.44
,Biomass tar,Cao/KOH,Hierarchical,,1790,1.21,0.48,93.76,0,0,6.24,25,1,2.71
,Biomass tar,Cao/KOH,Hierarchical,,2424,1.38,0.51,95.01,0,0,4.99,25,1,2.67
,Biomass tar,Cao/KOH,Hierarchical,,2358,1.85,0.49,95.14,0,0,4.86,25,1,2.92
,Biomass tar,Cao/KOH,Hierarchical,,1829,1.25,0.49,96.75,0,0,3.25,25,1,3.13
,Biomass tar,Cao/KOH,Hierarchical,,1684,1.43,0.48,95.25,0,0,4.75,25,1,2.75
,Biomass tar,Cao/KOH,Hierarchical,,1898,1.52,0.43,82.85,0,0,17.15,25,0.15,0.8
,Biomass tar,Cao/KOH,Hierarchical,,1790,1.21,0.48,93.76,0,0,6.24,25,0.15,0.74
,Biomass tar,Cao/KOH,Hierarchical,,2424,1.38,0.51,95.01,0,0,4.99,25,0.15,0.7
,Biomass tar,Cao/KOH,Hierarchical,,2358,1.85,0.49,95.14,0,0,4.86,25,0.15,1.01
,Biomass tar,Cao/KOH,Hierarchical,,1829,1.25,0.49,96.75,0,0,3.25,25,0.15,1.2
,Biomass tar,Cao/KOH,Hierarchical,,1684,1.43,0.48,95.25,0,0,4.75,25,0.15,0.68
,Biomass tar,Cao/KOH,Hierarchical,,1898,1.52,0.43,82.85,0,0,17.15,0,1,3.81
